,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,byron bay,AU,-28.65,153.6167,66.15,71,100,9.51,overcast clouds
305,airai,TL,-8.9266,125.4092,69.37,53,13,3.11,few clouds
306,geraldton,AU,-28.7667,114.6,62.13,94,75,4.61,broken clouds
307,koutiala,ML,12.3917,-5.4642,75.76,79,54,6.22,broken clouds
308,shelbyville,US,35.4834,-86.4603,81.84,38,1,1.01,clear sky
309,rylsk,RU,51.5655,34.6822,63.41,91,0,9.08,clear sky
310,taunggyi,MM,20.7833,97.0333,66.61,88,100,3.67,overcast clouds
311,cuajinicuilapa,MX,16.4667,-98.4167,78.03,88,94,1.61,overcast clouds
312,kamenka,RU,51.3223,42.7678,77.56,30,100,8.48,moderate rain
313,puerto ayacucho,VE,5.6639,-67.6236,76.28,83,98,3.53,overcast clouds
314,fairbanks,US,64.8378,-147.7164,64.74,78,90,0.0,light rain
315,kuito,AO,-12.3833,16.9333,53.19,18,8,3.09,clear sky
316,san carlos de bariloche,AR,-41.1456,-71.3082,35.35,55,0,6.91,clear sky
317,jijiga,ET,9.35,42.8,64.72,75,100,7.85,light rain
318,sao jose da coroa grande,BR,-8.8978,-35.1478,73.83,87,23,7.36,few clouds
319,yulara,AU,-25.2406,130.9889,57.04,30,0,5.75,clear sky
320,najran,SA,17.4924,44.1277,83.05,48,52,7.2,broken clouds
321,puri,IN,19.8,85.85,82.92,79,100,16.22,overcast clouds
322,taltal,CL,-25.4,-70.4833,57.78,68,5,3.76,clear sky
323,mollendo,PE,-17.0231,-72.0147,58.37,88,99,9.66,overcast clouds
324,ilulissat,GL,69.2167,-51.1,37.8,94,100,5.12,overcast clouds
325,norman wells,CA,65.282,-126.8329,57.24,58,75,12.66,broken clouds
326,thunder bay,CA,48.4001,-89.3168,73.99,94,90,4.61,mist
327,port hardy,CA,50.6996,-127.4199,60.98,82,90,10.36,overcast clouds
328,rondonopolis,BR,-16.4708,-54.6356,74.66,36,88,3.47,overcast clouds
329,lagos,NG,6.5833,3.75,77.32,94,100,5.46,light rain
330,mahates,CO,10.2329,-75.1899,84.09,87,100,4.76,overcast clouds
331,amga,RU,60.8953,131.9608,72.23,27,100,7.85,overcast clouds
332,berlevag,NO,70.8578,29.0864,56.77,70,35,8.72,scattered clouds
333,vidalia,US,32.2177,-82.4135,82.18,83,1,3.44,clear sky
334,longyearbyen,SJ,78.2186,15.6401,40.84,93,75,4.61,broken clouds
335,margate,GB,51.3813,1.3862,59.31,86,100,3.0,overcast clouds
336,cap malheureux,MU,-19.9842,57.6142,68.49,89,59,1.99,light rain
337,yerbogachen,RU,61.2767,108.0108,63.41,42,10,3.24,clear sky
338,ballina,AU,-28.8667,153.5667,63.79,63,90,2.3,overcast clouds
339,ankpa,NG,7.3706,7.6253,69.44,97,98,6.55,light rain
340,pontes e lacerda,BR,-15.2261,-59.3353,75.25,42,7,3.42,clear sky
341,kristiansund,NO,63.1115,7.732,57.85,82,14,3.44,few clouds
342,dongying,CN,37.4564,118.4856,83.48,53,100,1.43,light rain
343,freeport,US,40.6576,-73.5832,70.65,94,90,11.5,moderate rain
344,port-gentil,GA,-0.7193,8.7815,75.54,81,94,12.48,overcast clouds
345,morropon,PE,-5.1822,-79.9689,71.15,68,16,5.08,few clouds
346,east wenatchee bench,US,47.4257,-120.2812,76.28,36,0,5.99,clear sky
347,zhangjiakou,CN,40.81,114.8794,71.38,68,88,3.44,overcast clouds
348,cayenne,GF,4.9333,-52.3333,82.09,83,0,4.0,clear sky
349,gao,ML,16.6362,1.637,88.93,43,19,4.34,few clouds
350,fantanele,RO,46.1167,21.4,74.91,53,0,16.11,clear sky
351,lethem,GY,3.3803,-59.7968,76.15,89,100,1.88,light rain
352,tirano,IT,46.2154,10.1679,66.58,84,33,3.96,scattered clouds
353,college,US,64.8569,-147.8028,64.72,79,90,0.0,light rain
354,jimo,CN,36.3897,120.4622,78.58,83,40,2.24,mist
355,tarut,SA,26.5733,50.0369,93.4,41,0,11.56,clear sky
356,bathsheba,BB,13.2167,-59.5167,83.01,69,20,19.57,few clouds
